iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,40099462,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,37.746,0.5,64.83,0.511
OWID_AFR,,Africa,1392394303,,,,,,,,,,,,
ALB,Europe,Albania,2854710,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,,2.89,78.57,0.795
DZA,Africa,Algeria,44177969,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,83.741,1.9,76.88,0.748
AND,Europe,Andorra,79034,163.755,,,,,,109.135,7.97,,,83.73,0.868
AGO,Africa,Angola,34503774,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,26.664,,61.15,0.581
AIA,North America,Anguilla,15753,,,,,,,,,,,81.88,
ATG,North America,Antigua and Barbuda,93220,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,3.8,77.02,0.778
ARG,South America,Argentina,45276780,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,,5,76.67,0.845
ARM,Asia,Armenia,2790974,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,94.043,4.2,75.09,0.776
ABW,North America,Aruba,106536,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,76.29,
OWID_ASI,,Asia,4693235454,,,,,,,,,,,,
AUS,Oceania,Australia,25921089,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,,3.84,83.44,0.944
AUT,Europe,Austria,8922082,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,,7.37,81.54,0.922
AZE,Asia,Azerbaijan,10312992,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,83.241,4.7,73,0.756
BHS,North America,Bahamas,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,,2.9,73.92,0.814
BHR,Asia,Bahrain,1463265,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,,2,77.29,0.852
BGD,Asia,Bangladesh,169356251,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,34.808,0.8,72.59,0.632
BRB,North America,Barbados,281200,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,88.469,5.8,79.19,0.814
BLR,Europe,Belarus,9578168,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,,11,74.79,0.823
BEL,Europe,Belgium,11611420,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,,5.64,81.63,0.931
BLZ,North America,Belize,400031,16.426,25,3.853,2.279,7824.362,,176.957,17.11,90.083,1.3,74.62,0.716
BEN,Africa,Benin,12996895,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,11.035,0.5,61.77,0.545
BMU,North America,Bermuda,64185,1308.82,,,,50669.315,,139.547,13,,,82.59,
BTN,Asia,Bhutan,777486,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,79.807,1.7,71.78,0.654
BOL,South America,Bolivia,12079472,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,25.383,1.1,71.51,0.718
BES,North America,Bonaire Sint Eustatius and Saba,26706,,,,,,,,,,,77.79,
BIH,Europe,Bosnia and Herzegovina,3270943,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,97.164,3.5,77.4,0.78
BWA,Africa,Botswana,2588423,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,,1.8,69.59,0.735
BRA,South America,Brazil,214326223,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,,2.2,75.88,0.765
VGB,North America,British Virgin Islands,31122,207.973,,,,,,,13.67,,,79.07,
BRN,Asia,Brunei,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,,2.7,75.86,0.838
